Age,MaritalStatus,Gender,YearlyIncome,TotalChildren,NumberChildrenAtHome,Education,Occupation,HouseOwnerFlag,NumberCarsOwned,StateProvinceCode,PostalCode,BikeBuyer
34,M,M,60000,0,0,Partial College,Skilled Manual,1,2,CA,91977,0
39,M,M,60000,0,0,Partial College,Skilled Manual,1,2,CA,91364,0
36,S,F,60000,0,0,Partial College,Skilled Manual,0,2,CA,90703,1
37,S,M,60000,0,0,Partial College,Skilled Manual,0,2,CA,90241,1
37,M,M,60000,0,0,Partial College,Skilled Manual,1,2,CA,90802,1
38,M,M,60000,0,0,Partial College,Skilled Manual,1,2,CA,91502,0
38,S,F,60000,0,0,Partial College,Skilled Manual,1,2,CA,90712,0
38,M,M,60000,0,0,Partial College,Skilled Manual,0,2,CA,91203,0
39,M,M,60000,0,0,Partial College,Skilled Manual,1,2,CA,90712,0
40,M,M,60000,0,0,Partial College,Skilled Manual,1,2,CA,94303,0
39,S,M,60000,0,0,Partial College,Skilled Manual,0,2,CA,94070,1
37,S,F,60000,0,0,Partial College,Skilled Manual,1,2,CA,91945,1
38,S,M,60000,0,0,Partial College,Skilled Manual,0,2,CA,92806,0
39,S,F,60000,0,0,Partial College,Skilled Manual,0,2,CA,91203,1
40,S,F,60000,0,0,Partial College,Skilled Manual,0,2,CA,91950,1
36,S,M,60000,0,0,Partial College,Skilled Manual,1,2,CA,91945,1
39,M,M,60000,0,0,Partial College,Skilled Manual,1,2,CA,91364,0
36,M,M,60000,0,0,Partial College,Skilled Manual,1,2,CA,91932,1
36,S,M,60000,0,0,Partial College,Skilled Manual,1,2,CA,91791,1
36,M,M,60000,0,0,Partial College,Skilled Manual,1,2,CA,94704,1
36,M,M,60000,0,0,Partial College,Skilled Manual,1,2,CA,91932,1
38,S,F,60000,0,0,Partial College,Skilled Manual,1,2,CA,94519,0
38,M,M,60000,0,0,Partial College,Skilled Manual,0,2,CA,92806,0
37,M,F,60000,0,0,Partial College,Skilled Manual,1,2,CA,92806,0
39,S,M,60000,0,0,Partial College,Skilled Manual,1,2,CA,91941,0
42,S,F,60000,0,0,Partial College,Skilled Manual,0,2,CA,94303,1
37,S,F,60000,0,0,Partial College,Skilled Manual,0,2,CA,94015,1
36,S,M,60000,0,0,Partial College,Skilled Manual,0,2,CA,91950,1
39,S,F,60000,0,0,Partial College,Skilled Manual,0,2,CA,91364,0
36,M,F,60000,0,0,Partial College,Skilled Manual,1,2,CA,91502,1
37,M,M,60000,0,0,Partial College,Skilled Manual,0,2,CA,92020,1
38,S,M,60000,0,0,Partial College,Skilled Manual,0,2,CA,94536,0
35,S,F,60000,0,0,Partial College,Skilled Manual,0,2,CA,92102,1
39,M,M,60000,0,0,Partial College,Skilled Manual,0,2,CA,91776,0
40,S,F,60000,0,0,Partial College,Skilled Manual,0,2,CA,90401,1
37,M,F,60000,0,0,Partial College,Skilled Manual,0,2,CA,90241,1
37,M,M,60000,0,0,Partial College,Skilled Manual,1,2,CA,91932,1
38,S,M,60000,0,0,Partial College,Skilled Manual,0,2,CA,91502,0
38,S,F,60000,0,0,Partial College,Skilled Manual,1,2,CA,92118,0
40,M,F,60000,0,0,Partial College,Skilled Manual,1,2,CA,91945,0
40,M,F,60000,0,0,Partial College,Skilled Manual,1,2,CA,94941,0
39,S,M,60000,0,0,Partial College,Skilled Manual,1,2,CA,94941,0
37,M,M,60000,0,0,Partial College,Skilled Manual,1,2,CA,92118,1
36,M,M,60000,0,0,Partial College,Skilled Manual,0,2,CA,92020,1
38,M,F,60000,0,0,Partial College,Skilled Manual,1,2,CA,91910,0
38,S,F,60000,0,0,Partial College,Skilled Manual,0,2,CA,91203,0
42,S,M,60000,0,0,Partial College,Skilled Manual,0,2,CA,94704,1
36,M,F,60000,0,0,Partial College,Skilled Manual,1,2,CA,94704,1
36,S,F,60000,0,0,Partial College,Skilled Manual,1,2,CA,91910,1
37,M,F,60000,0,0,Partial College,Skilled Manual,1,2,CA,92118,0
37,M,F,60000,0,0,Partial College,Skilled Manual,0,2,CA,90241,0
38,M,F,60000,0,0,Partial College,Skilled Manual,1,2,CA,91941,0
39,M,M,60000,0,0,Partial College,Skilled Manual,1,2,CA,94536,0
40,M,F,60000,0,0,Partial College,Skilled Manual,1,2,CA,91203,0
40,M,M,60000,0,0,Partial College,Skilled Manual,1,2,CA,95062,0
36,M,F,60000,0,0,Partial College,Skilled Manual,1,2,CA,91791,1
37,S,F,60000,0,0,Partial College,Skilled Manual,0,2,CA,92118,1
37,S,F,60000,0,0,Partial College,Skilled Manual,1,2,CA,90241,1
37,S,M,60000,0,0,Partial College,Skilled Manual,0,2,CA,92806,1
37,S,F,60000,0,0,Partial College,Skilled Manual,1,2,CA,90712,1
38,S,F,60000,0,0,Partial College,Skilled Manual,0,2,CA,94536,0
39,M,M,60000,0,0,Partial College,Skilled Manual,0,2,CA,91950,0
40,S,M,60000,0,0,Partial College,Skilled Manual,0,2,CA,92020,1
42,S,F,60000,0,0,Partial College,Skilled Manual,1,2,CA,90012,1
38,S,F,60000,0,0,Partial College,Professional,0,2,CA,90706,0
41,S,M,60000,0,0,Partial College,Professional,0,2,CA,94704,0
39,M,F,60000,0,0,Partial College,Professional,1,2,CA,95062,0
38,M,F,60000,0,0,Partial College,Professional,1,2,CA,91977,0
41,M,F,60000,0,0,Partial College,Professional,1,2,CA,94704,1
35,S,F,60000,0,0,Partial College,Professional,0,2,CA,94010,1
40,S,F,60000,0,0,Partial College,Professional,0,2,CA,94010,0
39,M,F,60000,0,0,Partial College,Professional,1,2,CA,90712,0
41,S,M,60000,0,0,Partial College,Professional,0,2,CA,90210,1
41,M,F,60000,0,0,Partial College,Professional,1,2,CA,90012,0
35,S,M,60000,0,0,Partial College,Professional,1,2,CA,94010,0
35,S,F,60000,0,0,Partial College,Professional,0,2,CA,91502,0
41,S,F,60000,0,0,Partial College,Professional,1,2,CA,94010,0
39,S,M,60000,0,0,Partial College,Professional,0,2,CA,91941,0
39,S,F,60000,0,0,Partial College,Professional,0,2,CA,94010,0
40,M,M,60000,0,0,Partial College,Professional,1,2,CA,94010,0
35,S,M,60000,0,0,Partial College,Professional,0,2,CA,90210,1
40,S,F,60000,0,0,Partial College,Professional,0,2,CA,91502,1
39,S,M,60000,0,0,Partial College,Professional,0,2,CA,91945,0
38,S,F,60000,0,0,Partial College,Professional,1,2,CA,91910,0
41,M,F,60000,0,0,Partial College,Professional,0,2,CA,90210,0
40,S,M,60000,0,0,Partial College,Professional,1,2,CA,90706,0
40,S,M,60000,0,0,Partial College,Professional,0,2,CA,94704,1
40,S,F,60000,0,0,Partial College,Professional,0,2,CA,94010,1
41,S,M,60000,0,0,Partial College,Professional,1,2,CA,94010,0
38,M,F,60000,0,0,Partial College,Professional,1,2,CA,91932,0
38,M,M,60000,0,0,Partial College,Professional,1,2,CA,94303,0
39,S,F,60000,0,0,Partial College,Professional,1,2,CA,90241,0
41,M,M,60000,0,0,Partial College,Professional,1,2,CA,94303,1
38,M,F,60000,0,0,Partial College,Professional,0,2,CA,91364,0
38,S,F,60000,0,0,Partial College,Professional,0,2,CA,91945,0
38,S,M,60000,0,0,Partial College,Professional,0,2,CA,90401,0
38,S,M,60000,0,0,Partial College,Professional,0,2,CA,94010,0
40,M,M,60000,0,0,Partial College,Professional,1,2,CA,90210,0
40,S,M,60000,0,0,Partial College,Professional,0,2,CA,91502,1
39,S,M,60000,0,0,Partial College,Professional,0,2,CA,90706,0
40,S,F,60000,0,0,Partial College,Professional,0,2,CA,91502,1
40,S,F,60000,0,0,High School,Professional,0,2,CA,91910,0
40,S,M,60000,0,0,High School,Professional,0,2,CA,91910,1
41,M,F,60000,0,0,High School,Professional,0,2,CA,91910,1
40,M,F,60000,0,0,High School,Professional,1,2,CA,91910,1
40,M,F,60000,0,0,High School,Professional,1,2,CA,91910,1
40,M,F,60000,0,0,High School,Professional,0,2,CA,94010,1
35,M,M,60000,0,0,High School,Professional,1,2,CA,94014,1
55,M,F,60000,2,0,Partial High School,Skilled Manual,1,2,CA,91791,0
61,M,M,60000,2,0,Partial High School,Skilled Manual,1,2,CA,94063,0
60,M,M,60000,2,0,Partial High School,Skilled Manual,0,2,CA,95062,0
60,M,M,60000,2,0,Partial High School,Skilled Manual,1,2,CA,94070,0
60,M,M,60000,2,0,Partial High School,Skilled Manual,0,2,CA,94941,0
60,S,F,60000,2,0,Partial High School,Skilled Manual,1,2,CA,91945,0
55,M,M,60000,2,0,Partial High School,Skilled Manual,0,2,CA,92118,0
60,S,M,60000,2,0,Partial High School,Skilled Manual,1,2,CA,91910,1
60,M,M,60000,2,0,Partial High School,Skilled Manual,1,2,CA,91945,1
61,M,M,60000,2,0,Partial High School,Skilled Manual,0,2,CA,94303,1
61,S,M,60000,2,0,Partial High School,Skilled Manual,1,2,CA,91950,1
61,M,F,60000,2,0,Partial High School,Skilled Manual,1,2,CA,94070,1
61,M,M,60000,2,0,Partial High School,Skilled Manual,0,2,CA,94536,1
56,M,M,60000,2,0,Partial High School,Skilled Manual,1,2,CA,94063,1
55,S,F,60000,2,0,Partial High School,Skilled Manual,1,2,CA,94063,1
60,M,F,60000,2,0,Partial High School,Skilled Manual,0,2,CA,94519,1
61,M,M,60000,2,0,Partial High School,Skilled Manual,1,2,CA,94070,1
55,M,F,60000,2,0,Partial High School,Skilled Manual,1,2,CA,94947,1
55,S,F,60000,2,0,Partial High School,Skilled Manual,0,2,CA,90401,1
60,S,F,60000,2,0,Partial High School,Skilled Manual,1,2,CA,90802,1
57,S,F,60000,2,0,High School,Professional,0,2,CA,92625,0
57,S,F,60000,2,0,High School,Professional,0,2,CA,90401,0
58,S,F,60000,2,0,High School,Professional,1,2,CA,92102,0
54,S,M,60000,2,0,High School,Professional,0,2,CA,95062,0
52,M,M,60000,2,0,High School,Professional,0,2,CA,91364,0
52,M,M,60000,2,0,High School,Professional,0,2,CA,94014,0
59,S,M,60000,2,0,High School,Professional,1,2,CA,94611,0
60,S,M,60000,2,0,High School,Professional,1,2,CA,90012,0
59,M,M,60000,2,0,High School,Professional,0,2,CA,92102,0
58,M,M,60000,2,0,High School,Professional,0,2,CA,94015,0
57,M,M,60000,2,0,High School,Professional,0,2,CA,92020,0
57,S,F,60000,2,0,High School,Professional,1,2,CA,91791,0
54,M,F,60000,2,0,High School,Professional,0,2,CA,94611,0
52,M,F,60000,2,0,High School,Professional,0,2,CA,90241,0
41,M,M,60000,2,0,High School,Professional,0,2,CA,92625,0
59,M,M,60000,2,0,High School,Professional,0,2,CA,94070,0
60,M,F,60000,2,0,High School,Professional,0,2,CA,94704,0
59,M,M,60000,2,0,High School,Professional,0,2,CA,90210,0
59,M,F,60000,2,0,High School,Professional,0,2,CA,90706,1
59,M,M,60000,2,0,High School,Professional,0,2,CA,91932,0
60,S,M,60000,2,0,High School,Professional,1,2,CA,94536,0
60,M,M,60000,2,0,High School,Professional,0,2,CA,92020,0
57,M,F,60000,2,0,High School,Professional,0,2,CA,94109,0
57,M,M,60000,2,0,High School,Professional,0,2,CA,94109,0
48,M,M,60000,2,0,High School,Professional,0,2,CA,94303,0
59,S,M,60000,2,0,High School,Professional,1,2,CA,91791,0
60,M,F,60000,2,0,High School,Professional,0,2,CA,90712,0
60,S,F,60000,2,0,High School,Professional,1,2,CA,92020,0
59,M,M,60000,2,0,High School,Professional,0,2,CA,91945,0
53,M,M,60000,2,0,High School,Professional,0,2,CA,94014,0
59,M,M,60000,2,0,High School,Professional,0,2,CA,91776,0
59,M,F,60000,2,0,High School,Professional,0,2,CA,90210,0
57,S,M,60000,2,0,High School,Professional,1,2,CA,90401,0
59,M,F,60000,2,0,High School,Professional,0,2,CA,91941,0
59,M,M,60000,2,0,High School,Professional,0,2,CA,91950,0
59,M,F,60000,2,0,High School,Professional,0,2,CA,91950,1
59,M,F,60000,2,0,High School,Professional,0,2,CA,94947,0
57,M,F,60000,2,0,High School,Professional,0,2,CA,94015,1
59,M,F,60000,2,0,High School,Professional,0,2,CA,90505,0
47,M,F,60000,2,0,High School,Professional,0,2,CA,92020,1
59,M,M,60000,2,0,High School,Professional,0,2,CA,91950,0
58,M,M,60000,2,0,High School,Professional,0,2,CA,94014,1
52,M,M,60000,2,0,High School,Professional,0,2,CA,94014,1
58,M,F,60000,2,0,High School,Professional,1,2,CA,91941,0
59,M,F,60000,2,0,High School,Professional,1,2,CA,91502,0
53,M,M,60000,2,0,High School,Professional,0,2,CA,91502,1
60,M,M,60000,2,0,High School,Professional,0,2,CA,94014,1
60,M,M,60000,2,0,High School,Professional,0,2,CA,94303,1
57,M,F,60000,2,0,High School,Professional,1,2,CA,90802,0
59,S,M,60000,2,0,High School,Professional,0,2,CA,91910,1
58,M,M,60000,2,0,High School,Professional,1,2,CA,92102,0
59,M,F,60000,2,0,High School,Professional,1,2,CA,91977,0
57,M,M,60000,2,0,High School,Professional,0,2,CA,91910,1
42,S,F,60000,2,0,High School,Professional,1,2,CA,92806,0
61,M,M,60000,2,0,High School,Professional,1,2,CA,91364,0
59,M,M,60000,2,0,High School,Professional,1,2,CA,94519,0
54,S,F,60000,2,0,High School,Professional,0,2,CA,92020,1
54,M,F,60000,2,0,High School,Professional,0,2,CA,94611,1
58,M,F,60000,2,0,High School,Professional,1,2,CA,94070,0
57,M,F,60000,2,0,High School,Professional,1,2,CA,91945,1
59,S,M,60000,2,0,High School,Professional,1,2,CA,90802,1
59,M,F,60000,2,0,High School,Professional,1,2,CA,91776,1
59,S,F,60000,2,0,High School,Professional,0,2,CA,91502,1
58,M,M,60000,2,0,High School,Professional,1,2,CA,92020,1
42,M,M,60000,2,0,High School,Professional,1,2,CA,94704,1
57,M,F,60000,2,0,High School,Professional,1,2,CA,91776,1
52,S,F,60000,2,0,High School,Professional,1,2,CA,90241,1
60,S,M,60000,2,0,High School,Professional,1,2,CA,90210,1
61,S,F,60000,3,0,Partial High School,Skilled Manual,1,2,CA,92020,1
55,S,M,60000,3,0,Partial High School,Skilled Manual,1,2,CA,90505,1
55,S,M,60000,3,0,Partial High School,Skilled Manual,1,2,CA,91776,1
60,M,F,60000,3,0,Partial High School,Skilled Manual,1,2,CA,94536,1
70,M,F,60000,4,0,Bachelors,Management,1,2,CA,94303,0
64,M,M,60000,4,0,Bachelors,Management,0,2,CA,91950,1
70,M,M,60000,4,0,Bachelors,Management,1,2,CA,94063,1
69,M,M,60000,4,0,Bachelors,Management,1,2,CA,90802,1
69,S,M,60000,4,0,Bachelors,Management,1,2,CA,92020,1
69,M,M,60000,4,0,Bachelors,Management,1,2,CA,90241,1
64,M,F,60000,4,0,Bachelors,Management,1,2,CA,90012,0
59,M,F,60000,4,0,Bachelors,Management,1,2,CA,94704,1
69,M,M,60000,4,0,Bachelors,Management,1,2,CA,91502,1
69,M,F,60000,4,0,Bachelors,Management,1,2,CA,92625,1
69,M,M,60000,4,0,Bachelors,Management,1,2,CA,92118,0
69,M,M,60000,4,0,Bachelors,Management,0,2,CA,94015,0
63,S,F,60000,4,0,Bachelors,Management,1,2,CA,92020,0
69,M,F,60000,4,0,Bachelors,Management,1,2,CA,90401,0
63,M,F,60000,4,0,Bachelors,Management,1,2,CA,91941,0
68,M,M,60000,4,0,Bachelors,Management,1,2,CA,91776,0
68,M,M,60000,4,0,Bachelors,Management,1,2,CA,90012,0
68,M,M,60000,4,0,Bachelors,Management,1,2,CA,94704,0
69,M,F,60000,4,0,Bachelors,Management,1,2,CA,91502,0
68,S,F,60000,4,0,Bachelors,Management,1,2,CA,95062,0
68,M,F,60000,4,0,Bachelors,Management,1,2,CA,94010,0
68,M,M,60000,4,0,Bachelors,Management,1,2,CA,94947,0
68,M,M,60000,4,0,Bachelors,Management,1,2,CA,91950,0
68,M,F,60000,4,0,Bachelors,Management,1,2,CA,91910,0
68,M,M,60000,4,0,Bachelors,Management,0,2,CA,92020,0
75,M,M,60000,3,0,Bachelors,Management,1,2,CA,94941,0
74,S,F,60000,3,0,Bachelors,Management,1,2,CA,91950,0
72,S,F,60000,4,0,Bachelors,Management,1,2,CA,90712,0
72,S,F,60000,4,0,Bachelors,Management,1,2,CA,92806,0
74,S,F,60000,3,0,Bachelors,Management,1,2,CA,91776,0
66,M,F,60000,4,0,Bachelors,Management,1,2,CA,92806,1
71,S,F,60000,4,0,Bachelors,Management,1,2,CA,90505,0
71,M,M,60000,4,0,Bachelors,Management,0,2,CA,92020,1
75,M,M,60000,3,0,Bachelors,Management,1,2,CA,94519,0
74,M,M,60000,3,0,Bachelors,Management,0,2,CA,94704,1
74,M,F,60000,3,0,Bachelors,Management,1,2,CA,94704,0
71,M,M,60000,4,0,Bachelors,Management,1,2,CA,92102,0
71,M,M,60000,4,0,Bachelors,Management,1,2,CA,94010,0
74,S,M,60000,3,0,Bachelors,Management,0,2,CA,91364,0
72,S,M,60000,4,0,Bachelors,Management,1,2,CA,91203,0
71,S,F,60000,4,0,Bachelors,Management,0,2,CA,90505,0
71,S,M,60000,4,0,Bachelors,Management,0,2,CA,92118,0
74,S,M,60000,3,0,Bachelors,Management,1,2,CA,94303,0
74,M,F,60000,3,0,Bachelors,Management,1,2,CA,90210,0
73,S,F,60000,3,0,Bachelors,Management,0,2,CA,91950,0
68,S,M,60000,4,0,Bachelors,Management,0,2,CA,90706,0
72,S,F,60000,4,0,Bachelors,Management,1,2,CA,91364,0
70,M,F,60000,4,0,Graduate Degree,Management,0,2,CA,91776,0
78,M,F,60000,2,0,Graduate Degree,Management,1,2,CA,90706,0
65,S,M,60000,4,0,Graduate Degree,Management,1,2,CA,94010,1
71,M,M,60000,4,0,Graduate Degree,Management,1,2,CA,94536,1
79,M,F,60000,2,0,Graduate Degree,Management,1,2,CA,94704,0
81,M,M,60000,2,0,Graduate Degree,Management,1,2,CA,90706,1
70,S,M,60000,4,0,Graduate Degree,Management,1,2,CA,91502,1
74,M,F,60000,2,0,Graduate Degree,Management,1,2,CA,90706,1
72,S,M,60000,3,0,Graduate Degree,Management,1,2,CA,92020,0
77,M,M,60000,3,0,Graduate Degree,Management,0,2,CA,94704,0
76,S,F,60000,3,0,Graduate Degree,Management,1,2,CA,94010,0
73,M,M,60000,3,0,Graduate Degree,Management,1,2,CA,91950,0
74,M,F,60000,3,0,Graduate Degree,Management,1,2,CA,94014,1
73,M,M,60000,3,0,Graduate Degree,Management,1,2,CA,94014,1
73,S,M,60000,3,0,Graduate Degree,Management,1,2,CA,91932,0
72,M,F,60000,4,0,Graduate Degree,Management,1,2,CA,91950,0
62,M,M,60000,3,0,Graduate Degree,Management,0,2,CA,94519,1
72,M,M,60000,3,0,Graduate Degree,Management,1,2,CA,90012,0
71,M,M,60000,3,0,Graduate Degree,Management,1,2,CA,90012,0
70,S,M,60000,3,0,Graduate Degree,Management,1,2,CA,90706,0
76,M,F,60000,3,0,Graduate Degree,Management,1,2,CA,92102,0
73,M,F,60000,3,0,Graduate Degree,Management,1,2,CA,94014,1
68,M,F,60000,3,0,Graduate Degree,Management,1,2,CA,91950,1
71,M,F,60000,4,0,Graduate Degree,Management,1,2,CA,91932,0
80,M,F,60000,2,0,Graduate Degree,Management,1,2,CA,90706,0
77,S,F,60000,3,0,Graduate Degree,Management,1,2,CA,90706,0
76,M,M,60000,3,0,Graduate Degree,Management,0,2,CA,91932,0
74,M,M,60000,3,0,Graduate Degree,Management,0,2,CA,91502,1
72,M,M,60000,3,0,Graduate Degree,Management,1,2,CA,91364,0
72,M,F,60000,3,0,Graduate Degree,Management,1,2,CA,94941,0
76,M,M,60000,3,0,Graduate Degree,Management,1,2,CA,94519,0
75,M,M,60000,3,0,Graduate Degree,Management,1,2,CA,95062,0
73,S,F,60000,3,0,Graduate Degree,Management,1,2,CA,91945,1
67,M,M,60000,3,0,Graduate Degree,Management,1,2,CA,92118,0
72,M,M,60000,3,0,Graduate Degree,Management,1,2,CA,91945,0
78,S,F,60000,3,0,Graduate Degree,Management,1,2,CA,90210,0
78,M,M,60000,3,0,Graduate Degree,Management,1,2,CA,91950,0
77,M,F,60000,3,0,Graduate Degree,Management,0,2,CA,94010,0
71,M,M,60000,3,0,Graduate Degree,Management,1,2,CA,94014,0
75,M,M,60000,3,0,Graduate Degree,Management,1,2,CA,91502,0
75,M,F,60000,3,0,Graduate Degree,Management,1,2,CA,92625,1
74,M,M,60000,3,0,Graduate Degree,Management,1,2,CA,94704,0
72,M,M,60000,3,0,Graduate Degree,Management,1,2,CA,91791,0
78,M,F,60000,3,0,Graduate Degree,Management,1,2,CA,94941,0
67,M,M,60000,3,0,Graduate Degree,Management,1,2,CA,90706,1
77,M,F,60000,3,0,Graduate Degree,Management,1,2,CA,94010,0
75,M,M,60000,3,0,Graduate Degree,Management,1,2,CA,91910,0
74,M,F,60000,3,0,Graduate Degree,Management,1,2,CA,90706,1
74,M,M,60000,3,0,Graduate Degree,Management,1,2,CA,90210,0
62,M,F,60000,3,0,Graduate Degree,Management,1,2,CA,94519,1
76,M,M,60000,3,0,Graduate Degree,Management,0,2,CA,92020,0
77,M,F,60000,3,0,Graduate Degree,Management,1,2,CA,94536,0
77,M,M,60000,3,0,Graduate Degree,Management,1,2,CA,91950,0
75,S,M,60000,3,0,Graduate Degree,Management,1,2,CA,91950,0
75,M,M,60000,3,0,Graduate Degree,Management,0,2,CA,94611,0
76,S,F,60000,3,0,Graduate Degree,Management,1,2,CA,94014,0
77,S,M,60000,3,0,Graduate Degree,Management,1,2,CA,94519,0
74,S,F,60000,3,0,Graduate Degree,Management,1,2,CA,94519,0
62,M,M,60000,3,0,Graduate Degree,Management,1,2,CA,92020,1
71,S,F,60000,3,0,Graduate Degree,Management,1,2,CA,92806,0
76,M,M,60000,3,0,Graduate Degree,Management,1,2,CA,91910,0
